model,accuracy,f1_macro,precision_macro,recall_macro,exp,window_size,blink_ear_thresh,yawn_mar_thresh,min_frames
LogReg,0.5572567783094099,0.522216161232858,0.5683848348346686,0.5503187048162101,ws30_be0.20_ym0.55_mf15,30,0.2,0.55,15
LinearSVM,0.5626794258373206,0.5206796757146532,0.580809541969675,0.5550616026881173,ws30_be0.20_ym0.55_mf15,30,0.2,0.55,15
RF,0.4988835725677831,0.4973351055409657,0.4977303132598071,0.4977446288565319,ws30_be0.20_ym0.55_mf15,30,0.2,0.55,15
HGB,0.49792663476874,0.4965319865319865,0.4968479351364632,0.4968648813766419,ws30_be0.20_ym0.55_mf15,30,0.2,0.55,15
LogReg,0.5572567783094099,0.522216161232858,0.5683848348346686,0.5503187048162101,ws30_be0.20_ym0.60_mf15,30,0.2,0.6,15
LinearSVM,0.5623604465709728,0.5200315484166427,0.5805592267801375,0.5547164239894105,ws30_be0.20_ym0.60_mf15,30,0.2,0.6,15
HGB,0.5052631578947369,0.5037344040063895,0.5041551150029265,0.5041289074432339,ws30_be0.20_ym0.60_mf15,30,0.2,0.6,15
RF,0.4985645933014354,0.4965359789077607,0.497183013478782,0.4972090418490988,ws30_be0.20_ym0.60_mf15,30,0.2,0.6,15
LogReg,0.5572567783094099,0.522216161232858,0.5683848348346686,0.5503187048162101,ws30_be0.20_ym0.65_mf15,30,0.2,0.65,15
LinearSVM,0.5620414673046252,0.5193816479450515,0.5803081783858836,0.5543712452907036,ws30_be0.20_ym0.65_mf15,30,0.2,0.65,15
RF,0.5062200956937799,0.5043022614451186,0.5049480236666941,0.5049047958456369,ws30_be0.20_ym0.65_mf15,30,0.2,0.65,15
HGB,0.5052631578947369,0.5037344040063895,0.5041551150029265,0.5041289074432339,ws30_be0.20_ym0.65_mf15,30,0.2,0.65,15
LinearSVM,0.5904306220095694,0.5862534690101757,0.590818574785966,0.5881386824152326,ws30_be0.21_ym0.55_mf15,30,0.21,0.55,15
LogReg,0.5553429027113238,0.5550882658359293,0.5566775810907603,0.5564005702066999,ws30_be0.21_ym0.55_mf15,30,0.21,0.55,15
HGB,0.5263157894736842,0.5238412547461433,0.5250723781290956,0.5247469707769066,ws30_be0.21_ym0.55_mf15,30,0.21,0.55,15
RF,0.4940988835725677,0.4922924510499878,0.4927878773947366,0.4928439059158945,ws30_be0.21_ym0.55_mf15,30,0.21,0.55,15
LinearSVM,0.590749601275917,0.5863311738699688,0.5912581892444069,0.5883800020364525,ws30_be0.21_ym0.60_mf15,30,0.21,0.6,15
LogReg,0.5559808612440191,0.5558235410510441,0.5570980981332818,0.5569005192953874,ws30_be0.21_ym0.60_mf15,30,0.21,0.6,15
HGB,0.527591706539075,0.5245194409548414,0.5262487122725913,0.5257987984930251,ws30_be0.21_ym0.60_mf15,30,0.21,0.6,15
RF,0.4947368421052631,0.4929326875555995,0.4934313038138459,0.4934823337745647,ws30_be0.21_ym0.60_mf15,30,0.21,0.6,15
LinearSVM,0.590749601275917,0.5864407389604481,0.5912081678956325,0.5884146217289481,ws30_be0.21_ym0.65_mf15,30,0.21,0.65,15
LogReg,0.5559808612440191,0.555812690391291,0.5571250404685523,0.5569178291416352,ws30_be0.21_ym0.65_mf15,30,0.21,0.65,15
HGB,0.527591706539075,0.5245194409548414,0.5262487122725913,0.5257987984930251,ws30_be0.21_ym0.65_mf15,30,0.21,0.65,15
RF,0.4969696969696969,0.4945703496034225,0.4954129744527502,0.4954658385093168,ws30_be0.21_ym0.65_mf15,30,0.21,0.65,15
LinearSVM,0.5668261562998405,0.5662824330800301,0.5688136071015585,0.5682038488952246,ws30_be0.22_ym0.55_mf15,30,0.22,0.55,15
LogReg,0.5760765550239234,0.565282466779401,0.5914267037429053,0.580775888402403,ws30_be0.22_ym0.55_mf15,30,0.22,0.55,15
HGB,0.5170653907496012,0.5149506774190383,0.5158168984640303,0.5156542103655433,ws30_be0.22_ym0.55_mf15,30,0.22,0.55,15
RF,0.5007974481658692,0.4983718447174696,0.4992704809385324,0.4992790958150901,ws30_be0.22_ym0.55_mf15,30,0.22,0.55,15
LinearSVM,0.5661881977671451,0.5656631430194379,0.5681349276776999,0.5675481111903065,ws30_be0.22_ym0.60_mf15,30,0.22,0.6,15
LogReg,0.5757575757575758,0.5646389809823806,0.5914526957010895,0.5805172589349353,ws30_be0.22_ym0.60_mf15,30,0.22,0.6,15
HGB,0.5167464114832536,0.5143109054446693,0.515395886567174,0.5152051725893494,ws30_be0.22_ym0.60_mf15,30,0.22,0.6,15
RF,0.5007974481658692,0.4987574355922549,0.4994295405488745,0.4994348844313206,ws30_be0.22_ym0.60_mf15,30,0.22,0.6,15
LogReg,0.5773524720893142,0.566680029680286,0.5927607321842564,0.5820354342734956,ws30_be0.22_ym0.65_mf15,30,0.22,0.65,15
LinearSVM,0.5668261562998405,0.566301873691468,0.568778901805346,0.5681865390489766,ws30_be0.22_ym0.65_mf15,30,0.22,0.65,15
HGB,0.513237639553429,0.5111880883815864,0.5119750947642738,0.5118582629060178,ws30_be0.22_ym0.65_mf15,30,0.22,0.65,15
RF,0.4985645933014354,0.4964112730171057,0.4971283401559253,0.4971571123103553,ws30_be0.22_ym0.65_mf15,30,0.22,0.65,15
HGB,0.602931803696622,0.5966372926677794,0.605082992871673,0.5999588603169544,ws60_be0.20_ym0.55_mf15,60,0.2,0.55,15
LinearSVM,0.5863607393244105,0.5804648633282039,0.5967541021412199,0.5900528148974435,ws60_be0.20_ym0.55_mf15,60,0.2,0.55,15
LogReg,0.5838113448056087,0.5780077886078738,0.5938399539435809,0.5874665435186299,ws60_be0.20_ym0.55_mf15,60,0.2,0.55,15
RF,0.550031867431485,0.5464723800789375,0.5490805040938511,0.5480155387672405,ws60_be0.20_ym0.55_mf15,60,0.2,0.55,15
HGB,0.6061185468451242,0.5998096536786531,0.6084821428571429,0.6031305184900924,ws60_be0.20_ym0.60_mf15,60,0.2,0.6,15
LinearSVM,0.5863607393244105,0.5804648633282039,0.5967541021412199,0.5900528148974435,ws60_be0.20_ym0.60_mf15,60,0.2,0.6,15
LogReg,0.5844486934353091,0.5787177054300342,0.5944379554408842,0.5880868909131709,ws60_be0.20_ym0.60_mf15,60,0.2,0.6,15
RF,0.5487571701720841,0.54518759928596,0.5477765551813893,0.546739883377942,ws60_be0.20_ym0.60_mf15,60,0.2,0.6,15
HGB,0.6061185468451242,0.5998096536786531,0.6084821428571429,0.6031305184900924,ws60_be0.20_ym0.65_mf15,60,0.2,0.65,15
LinearSVM,0.5869980879541109,0.5811753152167465,0.5973502002451125,0.5906731622919844,ws60_be0.20_ym0.65_mf15,60,0.2,0.65,15
LogReg,0.5850860420650096,0.5794270613516964,0.5950354338115911,0.5887072383077119,ws60_be0.20_ym0.65_mf15,60,0.2,0.65,15
RF,0.5487571701720841,0.5452903652570291,0.5477752864972596,0.5467748439781586,ws60_be0.20_ym0.65_mf15,60,0.2,0.65,15
LogReg,0.5920968769917144,0.5793622069409257,0.6131924873749315,0.5973140502587084,ws60_be0.21_ym0.55_mf15,60,0.21,0.55,15
LinearSVM,0.5882727852135118,0.5772815537219862,0.6060517691495861,0.5931374780886471,ws60_be0.21_ym0.55_mf15,60,0.21,0.55,15
HGB,0.567240280433397,0.5643407948958381,0.5666075702948858,0.5654291698239612,ws60_be0.21_ym0.55_mf15,60,0.21,0.55,15
RF,0.5468451242829828,0.5438089914152296,0.5458294846200451,0.5450186835951856,ws60_be0.21_ym0.55_mf15,60,0.21,0.55,15
LogReg,0.5920968769917144,0.5793622069409257,0.6131924873749315,0.5973140502587084,ws60_be0.21_ym0.60_mf15,60,0.21,0.6,15
LinearSVM,0.5882727852135118,0.5772815537219862,0.6060517691495861,0.5931374780886471,ws60_be0.21_ym0.60_mf15,60,0.21,0.6,15
HGB,0.5583173996175909,0.5549737748463633,0.5575432072119935,0.5563597396980055,ws60_be0.21_ym0.60_mf15,60,0.21,0.6,15
RF,0.5462077756532824,0.5428231873809103,0.5451707553463733,0.5442584937997782,ws60_be0.21_ym0.60_mf15,60,0.21,0.6,15
LogReg,0.5920968769917144,0.5793622069409257,0.6131924873749315,0.5973140502587084,ws60_be0.21_ym0.65_mf15,60,0.21,0.65,15
LinearSVM,0.5882727852135118,0.5772815537219862,0.6060517691495861,0.5931374780886471,ws60_be0.21_ym0.65_mf15,60,0.21,0.65,15
HGB,0.5583173996175909,0.5549737748463633,0.5575432072119935,0.5563597396980055,ws60_be0.21_ym0.65_mf15,60,0.21,0.65,15
